team,season,sos_sp,n_rated_opponents
App State,2005,14.4,2
Arizona,2005,11.54,10
Arizona State,2005,7.2,11
Arkansas,2005,8.65,10
Arkansas State,2005,-15.99,10
Army,2005,1.03,10
Auburn,2005,4.4,10
BYU,2005,3.09,10
Ball State,2005,0.5727,11
Baylor,2005,8.78,10
Boise State,2005,-4.97,10
Boston College,2005,2.5818,11
Bowling Green,2005,-10.2,11
Buffalo,2005,-6.9364,11
Cal Poly,2005,-17.2,1
California,2005,4.2,10
Central Michigan,2005,-5.0364,11
Chattanooga,2005,-3.4,1
Cincinnati,2005,5.1,10
Clemson,2005,3.3,11
Colorado,2005,9.7083,12
Colorado State,2005,1.5182,11
Duke,2005,6.82,10
East Carolina,2005,-5.6818,11
Eastern Illinois,2005,2.8,1
Eastern Kentucky,2005,9.4,1
Eastern Michigan,2005,-7.6182,11
Eastern Washington,2005,-14.7,1
Florida,2005,4.8273,11
Florida A&M,2005,-10.6,2
Florida Atlantic,2005,-8.6636,11
Florida International,2005,-12.3333,9
Florida State,2005,7.2273,11
Fresno State,2005,-1.83,10
Georgia,2005,3.5333,12
Georgia Tech,2005,8.7455,11
